Type,numero de la carte,nom image fr,nom image jap,année,mois,jour,heure,minute,frequence,freq grande erreur
0,0,ane,??,2022,11,3,11,17,0,0
0,1,cerf,shika,2022,11,3,11,17,0,0
0,2,chat,neko,2022,11,3,11,17,0,0
0,3,cheval,uma,2022,11,3,11,17,0,0
0,4,chien,inu,2022,11,3,11,17,0,0
0,5,cochon,buta,2022,11,3,11,17,0,0
0,6,dromadaire,rakuda,2022,11,3,11,17,0,0
0,7,ecureuil,lisu,2022,11,3,11,17,0,0
0,8,furet,fere-to,2022,11,3,11,17,0,0
0,9,hamster,hamusuta,2022,11,3,11,17,0,0
0,10,herisson,halinezumi,2022,11,3,11,17,0,0
0,11,lapin,usagi,2022,11,3,11,17,0,0
0,12,mouton,yagi,2022,11,3,11,17,0,0
0,13,oiseau,tori,2022,11,3,11,17,0,0
0,14,poisson,sakana,2022,11,3,11,17,0,0
0,15,poule,niwatori,2022,11,3,11,17,0,0
0,16,souris,nezumi,2022,11,3,11,17,0,0
0,17,tanuki,tanuki,2022,11,3,11,17,0,0
0,18,vache,ushi,2022,11,3,11,17,0,0
